text,style
"
 Наука об ископаемых растениях — палеоботаника, или фитопалеонтология, имеет
 первостепенное значение для восстановления истории развития растительного мира.  Данные
 палеоботаники имеют важнейшее значение для решения многих вопросов систематики,
 морфологии (включая анатомию) и исторической географии растений.  Её данными пользуется
 также геология (историческая геология и стратиграфия). 
 Полезные свойства дикорастущих растений и возможности их окультуривания изучаются
 экономической ботаникой (хозяйственная ботаника, ботаническое ресурсоведение).",2
" С
 экономической ботаникой тесно связана этноботаника — учение об использовании растений
 различными этническими группами населения земного шара.  Важный раздел прикладной
 ботаники — изучение дикорастущих родичей культурных растений, обладающих ценными
 свойствами (например, иммунитетом к болезням, засухоустойчивостью и т.  д.",2
"). 
 Физиологию растений и биохимию растений не всегда относят к ботанике, поскольку многие
 физиологические и биохимические процессы, протекающие в растениях, аналогичны или даже
 тождественны процессам, протекающим в животных организмах, и изучаются сходными
 методами.  Однако биохимия и физиология растений отличаются рядом специфических черт,
 исключительно или почти исключительно свойственных растениям.  Поэтому разграничить
 физиологию и биохимию растений от собственно ботаники нелегко, тем более, что
 физиологические и биохимические особенности растений могут рассматриваться как
 таксономические признаки, следовательно, интересовать систематиков растений.",2
" Эти же
 особенности чрезвычайно важны для понимания проблем экологии и геоботаники, географии
 растений и ботанической географии, экономической ботаники и т.  д.  Генетика растений обычно
 также рассматривается как раздел общей генетики, хотя некоторые главы её (генетика популяций,
 цитогенетика) тесно связаны с систематикой, особенно биосистематикой, экологией растений и
 геоботаникой.",2
"
 Границы между перечисленными выше разделами ботаники в значительной мере условны, так
 как их методы нередко перекрещиваются, а данные взаимно используются.  Трудно определить
 место таких наук, как физиологическая анатомия и экологическая физиология, или отделить
 использование химических особенностей растений в систематике (хемосистематика) от
 сравнительной биохимии растений; наряду с этим процессом идёт и весьма узкая специализация
 отдельных ботанических разделов. 
 Ботаника тесно связана со многими другими науками — с геологией через палеоботанику и
 индикационную геоботанику (использование признаков некоторых растений и их сообществ как
 индикаторов некоторых полезных ископаемых); с химией — через биохимию и физиологию,
 экономическую ботанику и фармакогнозию; с почвоведением и физической географией — через
 экологию и геоботанику; с техническими науками — через экономическую ботанику.  Ботаника —
 естественно-историческая основа сельского и лесного хозяйства, зелёного строительства в
 городах, курортах и парках, она разрешает многие вопросы пищевой, текстильной, целлюлозно-бумажной, микробиологической, деревообрабатывающей промышленности.  Однако важнейшая
 задача ботаники — изучение закономерностей развития и охраны среды обитания
 человечества — биосферы и прежде всего растительного мира — фитосферы.",2
"
 Помимо принятой в биологии системы классификаций, ботаника, как и другие поднауки
 биологии, дополнительно разделяет виды на разновидности, подразновидности и формы. 
 В русской литературе вместо термина ботаническая номенклатура принято употреблять
 словосочетание «бинарная номенклатура», в зоологической литературе получило
 распространение словосочетание «биноминальная номенклатура». 
 Формирование и пополнение ботанической номенклатуры регламентируется Международным
 кодексом ботанической номенклатуры. 
 Ботаника пользуется как наблюдением, так и сравнительным, историческим и
 экспериментальным методами, включающими сбор и составление коллекций, наблюдение в
 природе и на опытных участках, эксперимент в природе и в условиях специализированных
 лабораторий, математическую обработку полученной информации.",2
" Наряду с классическими
 методами регистрации тех или иных признаков изучаемых растений используется все
 разнообразие современных химических, физических и кибернетических методов исследования. 
 Несмотря на то, что вымирание может быть природным результатом естественного отбора
 (пример, массовое вымирание видов в голоцене), однако современный период вымирания
 уникален.",2
" Предыдущие периоды были вызваны физическими причинами, такими как
 столкновение с небесными телами, движение тектонических плит, высокая вулканическая
 активность, изменение климата.  Текущий период вымирания вызван людьми и начался
 приблизительно 100 000 лет назад с расселением людей по планете.",2
" Входя в контакт с новыми для
 них экосистемами, которые прежде никогда не испытывали человеческого присутствия, люди
 разрушали экологический баланс, охотясь, разрушая среду обитания и разнося болезни. 
 Основные причины для беспокойства, связанные с проблемой вымирания видов:
 1.",2
" исчезновение видов как биологических сущностей — является важнейшим фактором
 и как уменьшение богатства природы, и как моральная проблема для тех, кто верит,
 что люди обязаны сохранять естественную окружающую среду;
 2.  дестабилизация экосистем — становится хорошо понятной, когда звено цепи
 питания исчезает из экосистемы;
 3.",2
" угроза другим видам — когда один вид исчезает, очень часто возникают
 популяционные изменения численности во вторичных видах.  Может возникнуть
 ситуация, когда экосистема изменится заметно и необратимо;
 4.  потеря незаменимого генетического материала — каждый вид несёт уникальный
 генетический материал в своей ДНК и производит уникальные химические соединения
 согласно генетическим инструкциям, заложенным в них.  Например, полынь
 однолетняя — растение, которое является единственным источником артемизинина,
 препарата, который почти на 100 процентов эффективен против малярии
 .  Если бы
 это растение исчезло, то контроль над малярией (даже сегодня являющейся
 серьёзным заболеванием) в беднейших регионах планеты уменьшился бы.",2
"
 Американский палеонтолог Niles Eldridge (Нильс Элдридж) в 1972 году выдвинул вместе с
 Стивеном Гулдом теорию прерывистого равновесия, согласно которой бо́льшая часть
 эволюционных изменений происходит за небольшие промежутки времени по сравнению с
 гораздо более длительными периодами эволюционной стабильности.  Нильс Элдридж, в
 частности, немаловажную роль отводит хозяйственной деятельности человека:
 Наука — деятельность, направленная на
 выработку и систематизацию объективных
 знаний о действительности. 
 Эта деятельность осуществляется путём сбора
 фактов, их регулярного обновления,
 систематизации и критического анализа.  На
 этой основе выполняется обобщения или синтез
 новых знаний, которые описывают
 наблюдаемые природные или общественные
 явления и указывают на причинно-следственные связи, что позволяет
 осуществлять прогнозирование.",2
" Те гипотезы,
 которые описывают совокупность
 наблюдаемых фактов и не опровергаются
 экспериментами, признаются законами
 природы или общества
  (см.  научный метод).",2
"
 По мнению историка науки И.  Н.",2
" Веселовского,
 «Современная наука, по существу, опирается на
 следующие три основы: 1) применение
 эксперимента, наблюдения и опыта при
 изучении природы; 2) логические
 доказательства выводов, полученных из
 основных предпосылок; 3) возможность
 математического представления природных
 процессов». 
 Наука есть знание, зафиксированное в определённой системе знаков, построенной на
 основании точных правил. 
 Наука всегда фиксируется в максимально определённом (для каждого исторического
 уровня) языке. 
 Наука есть система знаний о законах функционирования и развития объектов. 
 Наука представляет собой знание, эмпирически проверяемое и подтверждаемое.",2
"
 Наука представляет собой систему непрерывно возрастающих и пополняющихся
 знаний.  Это пополнение осуществляется при помощи наиболее совершенных
 методов. 
 Наука обладает составом, в который входят предмет, теория и гипотеза, метод и факт,
 описание эмпирического материала.",2
"
 С развитием письменности в странах древних цивилизаций накапливались и осмысливались
 эмпирические знания о природе, человеке и обществе, возникали зачатки математики, логики,
 геометрии, астрономии, медицины.  Предшественниками современных учёных были философы
 Древней Греции и Рима, для которых размышления и поиск истины становятся основным
 занятием.",2
" В Древней Греции появляются варианты классификации знаний. 
 Наука в современном понимании начала складываться с XVI—XVII веков.",2
" В ходе исторического
 развития её влияние вышло за рамки развития техники и технологии.  Наука превратилась в
 важнейший социальный, гуманитарный институт, оказывающий значительное влияние на все
 сферы общества и культуру.",2
" Объём научной деятельности с XVII века удваивается примерно
 каждые 10—15 лет (рост числа открытий, объёма научной информации, числа научных
 работников). 
 Слово «учёный» в современном понимании (scientist), сменившее словосочетание «философ,
 изучающий природу» (natural philosopher), появилось в середине XIX века. 
 В развитии науки чередуются экстенсивные и революционные периоды — научные революции,
 приводящие к изменению её структуры, принципов познания, категорий и методов, а также форм
 её организации.",2
" Для науки характерно диалектическое сочетание процессов её дифференциации и
 интеграции, развития фундаментальных и прикладных исследований. 
 Совокупность занимающихся наукой людей составляет научное сообщество.  Научное сообщество
 представляет собой сложную самоорганизующуюся систему, в которой действуют и
 государственные учреждения, и общественные организации, и неформальные группы.",2
"
 Отличительной чертой этого сообщества является повышенная степень признания авторитета,
 достигнутого научными успехами, и сниженный уровень признания авторитета властного, что
 порой приводит к конфликту государства и научного сообщества.  Также следует отметить более
 высокую, чем в других социальных сферах, эффективность неформальных групп и особенно
 отдельных личностей.  Важнейшими задачами научного сообщества являются признание или
 отрицание новых идей и теорий, обеспечивающее развитие научного знания, а также поддержка
 системы образования и подготовки новых научных работников. 
 Образ жизни и мировоззрение людей научного сообщества могут существенно отличаться от
 распространённых в обществе.  Считается, что сейчас в научном сообществе преобладают
 атеистические и скептические воззрения.",2
" Проведённые в 1990-х годах исследования показали,
 что лишь 7 % членов американской Национальной академии наук и 3,3 % членов академии наук
 Великобритании оказались верующими.  В то же время, согласно общенациональному опросу,
 верующими считают себя 68,5 % населения Великобритании.  В.  Л.  Гинзбург в статье на
 Атеизм.",2
"ру указав, что «В статье Изинга („Поиск“ № 25, 1998) приведена опубликованная ранее в
 Nature (т.  386, с.  435, 1997) таблица, свидетельствующая о том, что среди американских учёных в
 1916 г.",2
" было 42 % верующих, а в 1996 г.  39 % верующих, то есть их уменьшение невелико.  Это
 кажется странным в свете огромных достижений науки за прошедшие между опросами 80 лет»,
 высказал мнение, что возможной причиной этого стала «реакция на воинствующий атеизм
 коммунистов».",2
" Социолог Элайн Говард Экланд провела опрос 1646 преподавателей
 работающих в элитных университетах США, предложив им ответить на 36 вопросов на тему
 веры и духовных практиках, в ходе которого установила, что среди учёных естественно-научного
 направления (биология, физика и химия) атеистами являются 38 %, причём больше всего
 неверующих — 41 % оказалось среди биологов, в то время как у социологов — 31 %, а самое
 меньшее число — 27 % — у политологов.  По данным, опубликованным в июне 2005 года
 исследователями из Чикагского университета, 76 % американских докторов считают себя
 верующими, а 59 % убеждены в существовании загробной жизни.  История науки
 свидетельствует об изменчивости господствующих представлений и доктрин в науке, а также об
 их зависимости от политической конъюнктуры соответствующего государства или исторического
 периода.",2
"
 Учёный — представитель науки, осуществляющий осмысленную деятельность по формированию
 научной картины мира, чья научная деятельность и квалификация в той или иной форме
 получили признание со стороны научного сообщества.  Основной формальный признак
 признания квалификации — публикация материалов исследований в авторитетных научных
 изданиях и доклады на авторитетных научных конференциях.",2
" Доклад на всероссийских и
 международных научных конференциях приравнивается к научной публикации, однако для
 соискателей учёной степени существует ряд ограничений.  В России сделана формальная
 попытка отделить авторитетные научные издания от прочих в виде списка изданий, публикации
 в которых признаются ВАК.  Однако даже среди авторитетных изданий и конференций
 существует понимаемая не вполне однозначно система приоритетов.  Как правило, наибольшим
 приоритетом пользуются международные издания и конференции, и признание на
 международном уровне выше национального.",2
" Авторитет и признание квалификации учёного
 связан с его известностью в узких кругах специалистов.  Существуют попытки выстроить
 рейтинги по числу ссылок на работы данного учёного из работ других учёных.  Например, среди
 профессоров в одной и той же области знания лучшим экспертом по отдельному научному
 направлению считается тот, кто является автором публикаций именно по этому направлению.  А
 если оба автора (в одном учёном звании) работают по одному и тому же направлению науки, то
 лучшим экспертом будет тот, на чьи работы ссылаются больше, следовательно, признают
 квалификацию другие авторы.  Так формируется престиж специалиста в научном сообществе.",2
"
 Среди учёных принято любую достаточно длительную работу по исследованию какой-то
 определённой темы завершать публикацией соответствующей монографии, которая обычно
 содержит детальное описание методики исследования, изложение результатов проведённой
 работы, а также их интерпретацию. 
 В учёном сообществе высоко ценится педагогическая работа.  Право читать лекции в престижном
 учебном заведении является признанием уровня и квалификации учёного.  Высоко также ценится
 создание научной школы, то есть подготовка нескольких учёных, развивающих идеи учителя.",2
